request_id,success,status_code,error,latency_ms,first_frame_latency_ms,response_bytes,start_time,end_time,relative_end_second,body_template_index,body_template_label,debug_info
67,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",516.5017999242991,516.5017999242991,63,2026-06-25 21:25:04.268,2026-06-25 21:25:04.785,6,1,Body #1,
69,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",398.94960005767643,398.94960005767643,63,2026-06-25 21:25:04.406,2026-06-25 21:25:04.805,6,3,Body #3,
70,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",438.02170013077557,438.02170013077557,63,2026-06-25 21:25:04.410,2026-06-25 21:25:04.848,6,4,Body #4,
68,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",572.98139994964,572.98139994964,63,2026-06-25 21:25:04.308,2026-06-25 21:25:04.881,6,2,Body #2,
72,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",469.6092999074608,469.6092999074608,63,2026-06-25 21:25:04.492,2026-06-25 21:25:04.961,6,6,Body #6,
71,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",587.7076000906527,587.7076000906527,63,2026-06-25 21:25:04.477,2026-06-25 21:25:05.066,6,5,Body #5,
73,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",567.1491001266986,567.1491001266986,63,2026-06-25 21:25:04.537,2026-06-25 21:25:05.104,6,7,Body #7,
75,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",473.1798998545855,473.1798998545855,63,2026-06-25 21:25:04.674,2026-06-25 21:25:05.148,6,9,Body #9,
74,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",609.0098998975009,609.0098998975009,63,2026-06-25 21:25:04.542,2026-06-25 21:25:05.151,6,8,Body #8,
76,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",464.62520002387464,464.62520002387464,63,2026-06-25 21:25:04.699,2026-06-25 21:25:05.164,6,10,Body #10,
77,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",446.7990000266582,446.7990000266582,63,2026-06-25 21:25:04.777,2026-06-25 21:25:05.224,6,11,Body #11,
80,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",418.97270013578236,418.97270013578236,63,2026-06-25 21:25:04.805,2026-06-25 21:25:05.224,6,3,Body #3,
78,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",498.0420998763293,498.0420998763293,63,2026-06-25 21:25:04.782,2026-06-25 21:25:05.281,6,1,Body #1,
81,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",459.3178001232445,459.3178001232445,63,2026-06-25 21:25:04.848,2026-06-25 21:25:05.308,6,4,Body #4,
79,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",560.966799966991,560.966799966991,63,2026-06-25 21:25:04.785,2026-06-25 21:25:05.346,6,2,Body #2,
83,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",455.4555998183787,455.4555998183787,63,2026-06-25 21:25:04.937,2026-06-25 21:25:05.394,6,6,Body #6,
82,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",568.5038000810891,568.5038000810891,63,2026-06-25 21:25:04.881,2026-06-25 21:25:05.450,6,5,Body #5,
84,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",563.1025999318808,563.1025999318808,63,2026-06-25 21:25:04.962,2026-06-25 21:25:05.526,6,7,Body #7,
86,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",504.3954998254776,504.3954998254776,63,2026-06-25 21:25:05.104,2026-06-25 21:25:05.609,6,9,Body #9,
87,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",463.1727000232786,463.1727000232786,63,2026-06-25 21:25:05.148,2026-06-25 21:25:05.611,7,10,Body #10,
88,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",462.47789985500276,462.47789985500276,63,2026-06-25 21:25:05.152,2026-06-25 21:25:05.614,7,11,Body #11,
89,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",456.0287999920547,456.0287999920547,63,2026-06-25 21:25:05.164,2026-06-25 21:25:05.621,7,1,Body #1,
91,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",397.5309000816196,397.5309000816196,63,2026-06-25 21:25:05.224,2026-06-25 21:25:05.622,7,3,Body #3,
85,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",580.3309001494199,580.3309001494199,63,2026-06-25 21:25:05.066,2026-06-25 21:25:05.647,7,8,Body #8,
92,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",442.1536000445485,442.1536000445485,63,2026-06-25 21:25:05.281,2026-06-25 21:25:05.724,7,4,Body #4,
93,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",541.3278001360595,541.3278001360595,63,2026-06-25 21:25:05.308,2026-06-25 21:25:05.850,7,5,Body #5,
94,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",520.303700119257,520.303700119257,63,2026-06-25 21:25:05.346,2026-06-25 21:25:05.867,7,6,Body #6,
90,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",652.5282999500632,652.5282999500632,63,2026-06-25 21:25:05.224,2026-06-25 21:25:05.877,7,2,Body #2,
95,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",514.964499976486,514.964499976486,63,2026-06-25 21:25:05.394,2026-06-25 21:25:05.909,7,7,Body #7,
97,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",460.4400999378413,460.4400999378413,63,2026-06-25 21:25:05.465,2026-06-25 21:25:05.926,7,9,Body #9,
98,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",478.9189000148326,478.9189000148326,63,2026-06-25 21:25:05.526,2026-06-25 21:25:06.005,7,10,Body #10,
102,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",413.1908998824656,413.1908998824656,63,2026-06-25 21:25:05.621,2026-06-25 21:25:06.034,7,3,Body #3,
96,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",596.4651999529451,596.4651999529451,63,2026-06-25 21:25:05.450,2026-06-25 21:25:06.047,7,8,Body #8,
99,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",443.2031000033021,443.2031000033021,63,2026-06-25 21:25:05.609,2026-06-25 21:25:06.052,7,11,Body #11,
100,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",451.1031999718398,451.1031999718398,63,2026-06-25 21:25:05.612,2026-06-25 21:25:06.062,7,1,Body #1,
103,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",462.4238999094814,462.4238999094814,63,2026-06-25 21:25:05.623,2026-06-25 21:25:06.085,7,4,Body #4,
101,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",576.2895999941975,576.2895999941975,63,2026-06-25 21:25:05.615,2026-06-25 21:25:06.191,7,2,Body #2,
104,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",567.2021000646055,567.2021000646055,63,2026-06-25 21:25:05.647,2026-06-25 21:25:06.215,7,5,Body #5,
105,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",574.6822999790311,574.6822999790311,63,2026-06-25 21:25:05.724,2026-06-25 21:25:06.299,7,6,Body #6,
108,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",440.45130000449717,440.45130000449717,63,2026-06-25 21:25:05.877,2026-06-25 21:25:06.318,7,9,Body #9,
109,False,422,"HTTPError: HTTP Error 422: Unprocessable Entity; response={""code"":422,""msg"":""Extra inputs are not permitted"",""data"":null}",443.30409984104335,443.30409984104335,63,2026-06-25 21:25:05.909,2026-06-25 21:25:06.353,7,10,Body #10,
